Ano,Bandeira,Valor de Venda
2009,BRANCA,2.5160848506113607
2009,CHARRUA,2.617283937823834
2009,CIAPETRO,2.482917355371901
2009,DIBRAPE,2.567063829787234
2009,DISLUB,2.5682607407407407
2009,EQUADOR,2.708714023831347
2009,IDAZA,2.53959649122807
2009,IPIRANGA,2.578375251104861
2009,LARCO,2.616718309859155
2009,PETROBAHIA,2.6325013157894737
2009,POTENCIAL,2.5077156308851225
2009,RAIZEN,2.521222962940517
2009,RAIZEN MIME,2.521590322580645
2009,REJAILE,2.450031152647975
2009,RIO BRANCO,2.589950738916256
2009,ROYAL FIC,2.5714150326797385
2009,SABBÁ,2.680839344262295
2009,SETTA DISTRIBUIDORA,2.565778947368421
2009,SIMARELLI,2.798062350119904
2009,SP,2.632402716914987
2009,TAURUS,2.7390036630036634
