Ano,Bandeira,Valor de Venda
2008,IDAZA,2.153844827586207
2008,IPIRANGA,2.0394521376433787
2008,LARCO,1.9464356435643564
2008,PETROBAHIA,2.0132915555555555
2008,POTENCIAL,2.0312067226890758
2008,RAIZEN,2.027864994951195
2008,RAIZEN MIME,2.0049166666666665
2008,RIO BRANCO,2.0158522167487685
2008,ROYAL FIC,2.083254010695187
2008,SABBÁ,2.1788153846153846
2008,SIMARELLI,2.2776901554404145
2008,SP,2.036055759055759
2008,TAURUS,2.1865515267175573
2008,WALENDOWSKY,2.0758440366972475
2009,ALESAT,2.057044171650404
2009,ATEM' S,2.1954608695652174
2009,BRANCA,2.0497252544361477
2009,CHARRUA,2.1332714285714283
2009,CIAPETRO,2.0134120603015075
2009,DIBRAPE,2.0800882352941175
2009,DISLUB,2.044794891640867
2009,EQUADOR,2.3001213991769545
2009,IDAZA,2.1894323144104804
2009,IPIRANGA,2.0795074160811864
2009,LARCO,1.98743661971831
2009,PETROBAHIA,2.0443329608938545
2009,POTENCIAL,2.0676708074534162
2009,RAIZEN,2.0553384476179235
2009,RAIZEN MIME,2.056135922330097
2009,RIO BRANCO,2.030185
2009,ROYAL FIC,2.104577519379845
2009,SABBÁ,2.1212568093385213
2009,SIMARELLI,2.3197616766467064
2009,SP,2.0700928116469517
2009,TAURUS,2.227384105960265
2009,WALENDOWSKY,2.1382857142857143
2010,ALESAT,1.9933255435887016
2010,ATEM' S,2.184829694323144
2010,BRANCA,1.9842802254486975
2010,CHARRUA,2.049005224660397
2010,CIAPETRO,1.9517992565055762
2010,DIBRAPE,1.9973999999999998
2010,DISLUB,1.9973323983169704
2010,EQUADOR,2.281707650273224
2010,IDAZA,2.104004166666667
2010,IPIRANGA,2.011985012155693
2010,LARCO,1.8710666666666664
2010,PETROBAHIA,1.9686149553571428
2010,POTENCIAL,1.9954285714285716
2010,RAIZEN,1.980600383396004
2010,RAIZEN MIME,2.0107188019966724
2010,RIO BRANCO,1.9591875
2010,ROYAL FIC,2.013623693379791
2010,SABBÁ,2.1180663692136084
2010,SIMARELLI,2.2605934959349594
2010,SP,1.9924234034699153
2010,TAURUS,2.192345537757437
2010,WALENDOWSKY,2.0634918699186993
2011,ALESAT,2.0225732947571453
2011,ATEM' S,2.234245490981964
2011,BRANCA,2.006968597257667
2011,CHARRUA,2.080767548906789
2011,CIAPETRO,1.960983009708738
2011,DIBRAPE,2.020617886178862
2011,DISLUB,2.0154145077720207
2011,EQUADOR,2.2926476449275364
2011,IDAZA,2.2051381578947367
2011,IPIRANGA,2.0366849146093573
2011,LARCO,1.8148947368421053
2011,PETROBAHIA,1.9766693641618496
2011,POTENCIAL,2.013333333333333
2011,RAIZEN,2.009190980338237
2011,RAIZEN MIME,2.0264735605170388
2011,RIO BRANCO,1.9790294695481336
2011,ROYAL FIC,2.01507476635514
2011,SABBÁ,2.1606939937375462
2011,SIMARELLI,2.282706997084548
2011,SP,2.01689
2011,TAURUS,2.21609765625
2011,WALENDOWSKY,2.0732133333333334
2012,ALESAT,2.0921491088759487
2012,ATEM' S,2.2366333072713056
2012,BRANCA,2.0568038508552813
2012,CHARRUA,2.145801801801802
