,UF,LEITOS EXISTENTES,ano
386,RJ,547162.0,2021
387,PR,384291.0,2021
388,SC,215030.0,2021
389,GO,261102.0,2021
390,AL,89048.0,2021
391,MG,607165.0,2021
392,MT,110153.0,2021
393,PB,124028.0,2021
394,CE,268729.0,2021
395,RS,411229.0,2021
396,RO,65211.0,2021
397,RN,108262.0,2021
398,AM,89526.0,2021
399,AP,18379.0,2021
400,MA,202560.0,2021
401,RR,19015.0,2021
402,PI,108723.0,2021
403,AC,24122.0,2021
404,TO,45391.0,2021
405,PE,315864.0,2022
406,SE,45282.0,2022
407,BA,398057.0,2022
408,PA,204797.0,2022
409,SP,1316256.0,2022
410,MS,81735.0,2022
411,DF,121195.0,2022
412,ES,118504.0,2022
413,RJ,539326.0,2022
414,PR,361920.0,2022
415,SC,208835.0,2022
416,GO,255197.0,2022
417,AL,87689.0,2022
418,MG,580378.0,2022
419,MT,108242.0,2022
420,PB,123499.0,2022
421,CE,260948.0,2022
422,RS,398697.0,2022
423,RO,64204.0,2022
424,RN,103144.0,2022
425,AM,87658.0,2022
426,AP,16930.0,2022
427,MA,200900.0,2022
428,RR,18729.0,2022
429,PI,104587.0,2022
430,AC,22162.0,2022
431,TO,43724.0,2022
